Round,Threshold,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_10,Client_11,Client_12,Client_13,Client_14,Client_15,Client_16,Client_17,Client_18,Client_19
0,0.1,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.1,0.81,1.0,1.0,1.0,1.0,1.0,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.1,0.7290000000000001,1.0,1.0,1.0,1.0,1.0,0.7290000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.4,0.1458,1.0,1.0,1.0,0.2,1.0,0.1458,1.0,1.0,0.9,0.2,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0
4,0.4,0.029160000000000005,1.0,1.0,1.0,0.04000000000000001,1.0,0.029160000000000005,1.0,1.0,0.81,0.04000000000000001,1.0,1.0,1.0,1.0,1.0,0.81,0.81,0.81,1.0
5,0.4,0.005832000000000001,1.0,1.0,1.0,0.008000000000000002,1.0,0.005832000000000001,1.0,1.0,0.7290000000000001,0.008000000000000002,1.0,1.0,1.0,1.0,1.0,0.7290000000000001,0.7290000000000001,0.7290000000000001,1.0
6,0.4,0.0011664000000000004,1.0,1.0,1.0,0.0016000000000000005,1.0,0.0011664000000000004,1.0,1.0,0.6561000000000001,0.0016000000000000005,1.0,1.0,1.0,1.0,1.0,0.6561000000000001,0.6561000000000001,0.7790000000000001,1.0
7,0.4,0.0002332800000000001,1.0,1.0,1.0,0.00032000000000000013,1.0,0.0002332800000000001,1.0,1.0,0.5904900000000002,0.00032000000000000013,1.0,1.0,1.0,1.0,1.0,0.5904900000000002,0.5904900000000002,0.8290000000000002,1.0
8,0.4,4.665600000000002e-05,1.0,1.0,1.0,6.400000000000002e-05,1.0,4.665600000000002e-05,1.0,1.0,0.5314410000000002,6.400000000000002e-05,1.0,1.0,1.0,1.0,1.0,0.5314410000000002,0.5314410000000002,0.7461000000000002,1.0
9,0.4,9.331200000000005e-06,1.0,1.0,1.0,1.2800000000000006e-05,1.0,9.331200000000005e-06,1.0,1.0,0.47829690000000014,1.2800000000000006e-05,1.0,1.0,1.0,1.0,1.0,0.47829690000000014,0.47829690000000014,0.7961000000000003,1.0
